key,count,frequency
e,209649,0.088248
t,186099,0.078335
n,132772,0.055888
s,117362,0.049401
i,112659,0.047422
",<",107304,0.045168
a,104993,0.044195
o,99223,0.041766
u,96277,0.040526
r,95148,0.040051
;:,84478,0.035559
.>,80515,0.033891
0),79345,0.033399
l,78347,0.032979
-_,75032,0.031583
p,67711,0.028502
c,54758,0.023049
9(,52514,0.022105
m,51812,0.021809
b,47321,0.019919
d,38879,0.016365
f,37934,0.015968
1!,34257,0.014420
g,33860,0.014253
y,26640,0.011214
[{,26593,0.011194
]},26587,0.011191
h,23672,0.009964
=+,22559,0.009496
/?,21703,0.009135
v,17664,0.007435
w,16334,0.006875
3#,14849,0.006250
4$,14156,0.005959
2@,10864,0.004573
7&,10711,0.004509
"'""",9175,0.003862
6^,8284,0.003487
x,7965,0.003353
k,7286,0.003067
5%,7046,0.002966
q,6904,0.002906
8*,6871,0.002892
z,4432,0.001866
\|,3800,0.001600
`~,2562,0.001078
j,782,0.000329
